Date;DOY;Licor unit;Tree;Treat;Temp;VPD;CO2;WD;Obs;HHMMSS;FTime;EBal?;Photo;Cond;WUEi;Ci;Ci/10;VcmaxCi10;VcmaxCO2R10;Trmmol;VpdL;CTleaf;Area;BLC_1;StmRat;BLCond;Tair;Tleaf;TBlk;CO2R;CO2R/10;CO2S;H2OR;H2OS;RH_R;RH_S;Flow;PARi;PARo;Press;CsMch;HsMch;StableF;BLCslope;BLCoffst;f_parin;f_parout;alphaK;Status;fda;Trans;Tair_K;Twall_K;R(W/m2);Tl-Ta;SVTleaf;h2o_i;h20diff;CTair;SVTair;CndTotal;vp_kPa;VpdA;CndCO2;Ci_Pa;Ci/Ca;RHsfc;C2sfc;AHs/Cs;Photo385;Photo700
29.7.2014;210;red;3;HOT-H-AC-WET;HOT;H;AC;WET;1;9:13:11;1402.5;0;19.24981582;0.420629132;45.76434287;270.92;27.09;65.6;50.2;5.01;1.31;25.14;6;1.42;1;2.84;25.3;25.14;24.98;385.46;38.55;360.21;13.3;19.2;40.51;58.46;500.21;1199.36;1.14;98.57;-2.63;0.2;0;-0.22;2.74;1;0;0.16;111115;0.83;0.01;298.29;298.45;191.9;-0.32;3.21;32.53;13.33;25.22;3.22;0.37;1.89;1.33;0.23;26.71;0.75;63.36;351.06;0.03;19.25;27.71
29.7.2014;210;black;4;HOT-H-AC-WET;HOT;H;AC;WET;1;9:09:04;1673.5;0;15.94400358;0.254340443;62.68764571;251.76;25.18;51.6;37.8;2.66;1.09;24.53;6;1.42;1;2.84;22.8;24.53;22.38;385.62;38.56;365.31;17.23;20.36;60.8;71.84;499.71;1200.16;0.52;98.28;-1.43;0.09;1;-0.22;2.74;1;0;0.16;111115;0.83;0;297.68;295.95;192.02;0.65;3.09;31.46;11.1;23.67;2.94;0.23;2;0.93;0.15;24.74;0.69;66.76;357.73;0.03;15.94;NA
29.7.2014;210;green;5;HOT-H-AC-WET;HOT;H;AC;WET;8;11:03:35;2911.5;0;16.54791437;0.06970142;237.4114382;-26.18;-2.62;-8.89;46.9;0.88;1.23;26.01;6;1.42;1;2.84;25.22;26.01;24.94;385.37;38.54;365.13;20.78;21.81;63.46;66.6;500.16;1200.04;6.19;98.38;5.73;-1.23;0;-0.22;2.74;1;0;0.16;111115;0.83;0;299.16;298.37;192.01;1.71;3.38;34.32;12.51;25.62;3.3;0.07;2.15;1.15;0.04;-2.58;-0.07;63.4;357.27;0.03;16.55;26.8
29.7.2014;210;blue;6;HOT-H-AC-WET;HOT;H;AC;WET;8;9:27:38;3052;0;13.20362692;0.155474869;84.92450905;220.93;22.09;48.8;34.5;2.03;1.32;25.84;6;1.42;1;2.84;25.31;25.84;24.97;386.41;38.64;369.64;18.11;20.5;55.08;62.36;499.53;1200.01;4.2;98.52;-7.82;-0.29;0;-0.22;2.74;1;0;0.16;111115;0.83;0;298.99;298.46;192;1.14;3.34;33.92;13.42;25.57;3.29;0.15;2.02;1.27;0.09;21.77;0.6;61.45;363.37;0.02;13.2;21.71
29.7.2014;210;green;1;HOT-H-EC-DRY;HOT;H;EC;DRY;68;14:09:09;14045;0;7.776934653;0.06315664;123.137245;476.51;47.65;0.19;-0.68;0.89;1.38;27.27;6;1.42;1;2.84;25.53;27.27;24.94;700.77;70.08;690.7;21.96;23;65.8;68.93;500.19;1199.68;5.22;98.33;3.25;1.52;1;-0.22;2.74;1;0;0.16;111115;0.83;0;300.42;298.68;191.95;1.56;3.64;36.99;13.99;26.4;3.46;0.06;2.26;1.19;0.04;46.85;0.69;61.87;687;0.01;-0.27;7.78
29.7.2014;210;blue;2;HOT-H-EC-DRY;HOT;H;EC;DRY;67;12:19:45;13379.5;0;10.63177829;0.058925219;180.4283203;385.51;38.55;25.9;16.4;0.62;1.03;25.12;6;1.42;1;2.84;25.54;25.12;24.96;701.78;70.18;688.5;21.38;22.11;64.12;66.3;499.47;1199.25;3.68;98.47;-16.01;-0.3;0;-0.22;2.74;1;0;0.16;111115;0.83;0;298.27;298.69;191.88;2.01;3.2;32.52;10.41;25.33;3.24;0.06;2.18;1.07;0.04;37.96;0.56;67.75;683.44;0.01;6;10.63
29.7.2014;210;black;3;HOT-H-EC-DRY;HOT;H;EC;DRY;76;12:34:27;13997;0;6.979073356;0.014391364;484.9487065;-93.95;-9.4;-42.8;9.95;0.2;1.33;25.79;6;1.42;1;2.84;21.27;25.79;19.77;700.54;70.05;692.01;20.1;20.33;77.78;78.69;500.58;1199.28;1.93;98.24;-2.41;0.13;1;-0.22;2.74;1;0;0.16;111115;0.83;0;298.94;294.42;191.88;1.56;3.33;33.92;13.59;23.53;2.91;0.01;2;0.91;0.01;-9.23;-0.14;59.04;688.69;0.01;3.63;6.98
29.7.2014;210;red;4;HOT-H-EC-DRY;HOT;H;EC;DRY;73;12:39:53;13804.5;0;5.060735975;0.017392773;290.9677471;212.82;21.28;39.3;9.04;0.32;1.77;26.97;6;1.42;1;2.84;25.6;26.97;24.98;700.52;70.05;694.18;17.95;18.32;53.68;54.8;500.19;1200.07;2.89;98.54;-9.75;0.22;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.12;298.75;192.01;1.91;3.57;36.26;17.94;26.28;3.43;0.02;1.81;1.63;0.01;20.97;0.31;49.45;691.78;0;2.42;5.06
29.7.2014;210;red;5;HOT-H-EC-DRY;HOT;H;EC;DRY;79;12:53:08;14599;0;9.448502221;0.054815689;172.3685754;391.95;39.2;29;16.5;0.94;1.68;26.97;6;1.42;1;2.84;25.62;26.97;24.97;699.5;69.95;687.39;18.11;19.22;54.07;57.38;500.22;1199.83;3.58;98.54;-9.54;0.2;0;-0.22;2.74;1;0;0.16;111115;0.83;0;300.12;298.77;191.97;1.59;3.57;36.26;17.04;26.3;3.43;0.05;1.89;1.54;0.03;38.62;0.57;52.58;682.9;0.01;5.4;9.45
29.7.2014;210;black;6;HOT-H-EC-DRY;HOT;H;EC;DRY;82;12:48:11;14820.5;0;6.046214297;0.012344185;489.8026315;-100.79;-10.08;26.8;8.32;0.17;1.32;25.73;6;1.42;1;2.84;21.41;25.73;19.92;699.73;69.97;692.34;20.19;20.39;77.47;78.24;500.58;1199.61;2.01;98.24;-2.45;0.14;0;-0.22;2.74;1;0;0.16;111115;0.83;0;298.88;294.56;191.94;1.61;3.32;33.81;13.42;23.57;2.92;0.01;2;0.92;0.01;-9.9;-0.15;59.37;689.46;0.01;3.2;6.05
